Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,chromosome,description,type_of_gene,Class
Yellow,21-28,21,1,2,insulin like growth factor 2 receptor,protein-coding,Animal
Yellow,13-20,17,1,20,coagulation factor X,protein-coding,Animal
Yellow,13-20,19,1,X1,complement factor D,protein-coding,Animal
Green,21-28,28,0,11,sperm autoantigenic protein 17,protein-coding,Animal
Red,13-20,16,1,3,insulin like growth factor 2,protein-coding,Animal
Green,13-20,18,1,13,"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)",protein-coding,Animal
Yellow,13-20,13,1,8,beta-2-microglobulin,protein-coding,Animal
Red,13-20,15,1,6,hypoxanthine phosphoribosyltransferase 1,protein-coding,Animal
Yellow,21-28,22,1,11,crystallin alpha B,protein-coding,Animal
Yellow,13-20,17,1,18,crystallin alpha A,protein-coding,Animal
Green,13-20,19,1,2,sulfotransferase SULT1A,protein-coding,Animal
Yellow,13-20,18,1,3,lactate dehydrogenase A,protein-coding,Animal
Red,21-28,27,1,X1,neutrophil elastase,protein-coding,Animal
Red,13-20,17,1,6,dystrophin related protein 2,protein-coding,Animal
Yellow,13-20,16,1,MT,NADH dehydrogenase subunit 4L,protein-coding,Animal
Red,13-20,14,1,MT,NADH dehydrogenase subunit 4,protein-coding,Animal
Yellow,13-20,16,1,MT,NADH dehydrogenase subunit 2,protein-coding,Animal
Red,21-28,22,1,MT,NADH dehydrogenase subunit 5,protein-coding,Animal
Red,21-28,21,1,MT,ATP synthase F0 subunit 8,protein-coding,Animal
Red,13-20,18,1,MT,cytochrome b,protein-coding,Animal
Yellow,21-28,23,0,MT,cytochrome c oxidase subunit I,protein-coding,Animal
Red,13-20,16,1,MT,ATP synthase F0 subunit 6,protein-coding,Animal
Yellow,13-20,7,0,MT,NADH dehydrogenase subunit 6,protein-coding,Animal
Red,21-28,12,0,MT,cytochrome c oxidase subunit III,protein-coding,Animal
Yellow,21-28,26,1,MT,NADH dehydrogenase subunit 1,protein-coding,Animal
Red,13-20,19,1,MT,cytochrome c oxidase subunit II,protein-coding,Animal
Yellow,13-20,19,1,MT,NADH dehydrogenase subunit 3,protein-coding,Animal
